name,author,narrator,releasedate,language,price,rating_stars,n_ratings,hours,mins,time_mins
Chicken Soup for the Soul: What I Learned from the Cat,"JackCanfield,MarkVictorHansen,AmyNewmark-editor,","JackCanfield,MarkVictorHansen,AmyNewmark-editor,",2011-01-09,English,4.22,,1.0,10,45,645
Chicken Soup for the Cat & Dog Lover's Soul,"JackCanfield,MarkVictorHansen,MartyBecker,","JackCanfield,MarkVictorHansen,MartyBecker,",2005-02-09,English,3.36,,1.0,1,11,71
"Goodbye, Friend",GaryKowalski,GaryKowalski,2017-03-10,English,7.03,,1.0,3,18,198
Prosper!,"ChrisMartenson,AdamTaggart,RobertT.Kiyosaki-foreword","ChrisMartenson,AdamTaggart,RobertT.Kiyosaki-foreword",2015-02-12,English,6.0,3.5,2.0,7,39,459
A Dutiful Boy,MohsinZaidi,MohsinZaidi,2020-08-20,English,10.66,,8.0,8,12,492
I'm Afraid of Men,VivekShraya,VivekShraya,2018-08-28,English,9.65,4.5,3.0,1,26,86
So Now You Know,VivekTejuja,VivekTejuja,2020-08-23,English,6.01,4.5,3.0,3,19,199
M to (WT)F,SamanthaAllen,SamanthaAllen,2020-08-10,English,3.19,,1.0,3,18,198
This Wound Is a World,Billy-RayBelcourt,Billy-RayBelcourt,2020-01-14,English,5.62,,1.0,1,6,66
Love & Estrogen,SamanthaAllen,SamanthaAllen,2018-05-28,English,0.8,,1.0,1,18,78
Close to the Knives,DavidWojnarowicz,DavidWojnarowicz,2014-08-20,English,8.02,,1.0,7,39,459
Out of a Far Country,ChristopherYuan,ChristopherYuan,2015-12-24,English,14.06,,1.0,7,28,448
Abandon Me,MelissaFebos,MelissaFebos,2017-04-18,English,6.83,4.5,2.0,7,28,448
The Stonewall Reader,"NewYorkPublicLibrary,EdmundWhite","NewYorkPublicLibrary,EdmundWhite",2019-04-30,English,12.06,,1.0,10,45,645
In the Dream House,CarmenMariaMachado,CarmenMariaMachado,2020-07-27,English,6.83,4.5,12.0,5,29,329
